clean_text,label
water level rising rapidly,1
wave crashing violently shore,1
sea water entering road,1
wind getting stronger every minute,1
huge wave smashing rock,1
flood like situation near beach,1
tide getting higher higher,1
ocean look extremely rough,1
danger approaching look sky,1
possible high tide warning,1
sudden rise water level,1
shore getting flooded slowly,1
wave becoming unpredictable,1
sea behaving strangely today,1
flood alert local authority,1
strong wind pushing wave inland,1
fisherman warning everyone stay away,1
coast guard issuing alert,1
beach closed due dangerous wave,1
lifeguard warning people move back,1
scary situation building near shore,1
massive wave almost hit road,1
extreme tide pushing water forward,1
shoreline disappearing due wave,1
violent splash hitting wall,1
unusual loud ocean noise heard,1
storm surge water entering houses,1
danger increasing every minute,1
sea look extremely angry,1
dark cloud forming over ocean,1
wave hitting barrier violently,1
emergency evacuation announced,1
public asked stay away beach,1
sea pulling water unusually fast,1
ocean current too strong today,1
local reporting dangerous tide,1
high wave hitting fishing boat,1
water flooding street near coastline,1
beach sand washed away tide,1
unusually strong backwash wave,1
boat drifting uncontrolled strong wave,1
dangerous sea condition reported,1
coast guard rescue team deployed,1
scary ocean vibration felt shore,1
people running away rising water,1
storm tide coming faster expected,1
flooding seen near lighthouse,1
huge wave covering entire walkway,1
severe sea disturbance seen today,1
large wave approaching quickly,1
hazard alert announced beach,1
giant wave toppling object shore,1
torrential wave sweeping beach,1
fast rising seawater alert,1
current pulling swimmer dangerously,1
bridge shaking due heavy wave,1
unusual tide pattern today,1
coastline eroding rapidly today,1
big wave dragging things sea,1
storm surge continues intensify,1
wave height increasing continuously,1
unusual swell observed early morning,1
boats struggling remain stable,1
dangerous undertow forming today,1
local area completely flooded,1
road blocked due sea water,1
cyclone induced wave hitting hard,1
pile debris seen after wave,1
angry wave causing destruction,1
water rising above ankle level,1
multiple wave hitting rapidly,1
storm water forcing entry building,1
seawater entering farm area,1
dock almost submerged wave,1
harbor closed due unsafe wave,1
sailors warned unpredictable tide,1
flood like situation developing,1
water covering pavement quickly,1
large foam wave indicating danger,1
wave carrying heavy debris,1
sharp rise water pressure,1
wave knocking people down,1
evacuation started due strong wave,1
hazardous situation worsening,1
tsunami like wave observed,1
sirens heard near coastline,1
rescue operation underway beach,1
deadly wave approaching shore,1
strong turbulence seen ocean,1
tide overtaking safety barrier,1
storm approaching coastline fast,1
sea turning dark extremely violent,1
wet sand moving backwards speed,1
beachside shop flooded wave,1
water rising alarming speed,1
danger visible ocean today,1
extremely rough sea condition,1
hazard predicted tonight,1
sharp wave hitting coastline,1
powerful surge shaking coastline,1
dangerous pull dragging objects sea,1
public urged maintain distance,1
flood water entering basement,1
dangerous rip current noticed,1
serious tide pressure building,1
multiple people rescued today,1
harbor wave height extremely high,1
crashing wave heard distance,1
sea water flooding entire pathway,1
parking lot filled seawater,1
boat almost capsizing rough wave,1
panic visible people near beach,1
wake forming large water wall,1
coastal area highly unstable today,1
storm surge damaging fence,1
water force increasing rapidly,1
currents too strong swimming,1
wave hitting consistently hard,1
body of water pushed strongly,1
giant swell approaching beach,1
deep water rising surface level,1
shoreline shrinking rapidly,1
angry tide hitting wall,1
local fishermen extremely worried,1
boats tied tightly avoid drift,1
coastal homes threatened rising water,1
flooding happening real time,1
hazard sign everywhere today,1
unusually violent water movement,1
bridge walkway underwater already,1
pathway filled sudden water rush,1
immediate danger visible coastline,1
panic growing due extreme waves,1
beautiful sunset beach,0
calm water today,0
weather pleasant people enjoying,0
sea look peaceful morning,0
tourist enjoying vacation,0
nothing unusual happening,0
children playing sand,0
cool breeze near sea,0
family walking beach,0
sunrise wonderful today,0
beach crowded weekend,0
calm tide today,0
sky look clear,0
fisherman preparing net peacefully,0
day perfect walk beach,0
beautiful scene coastline,0
enjoying calm wave,0
nature look stunning today,0
peaceful environment around sea,0
people relaxing near shore,0
perfect weather outing,0
beach vibe amazing today,0
nothing alarming right now,0
lifeguard watching normally,0
boats moving smoothly sea,0
sunshine bright making day pleasant,0
tourist capturing photos beach,0
family enjoying picnic near sea,0
beach day well spent,0
calm morning near water,0
routine activity happening beach,0
sea look gentle today,0
people jogging peacefully,0
beautiful blue wave today,0
nothing panic everyone chill,0
weather peaceful day,0
children building sandcastle,0
bird flying around sea,0
sky bright everything normal,0
no disturbance sea today,0
locals enjoying tea beach,0
nothing special happening coastline,0
wave gentle soothing,0
sunny day perfect moment,0
tourist clicking picture happily,0
 couple taking photo beach,0
musicians playing guitar near sea,0
kids running around sand,0
beach vendor selling snack,0
breeze refreshing feel good,0
fun moment near ocean,0
dog playing near water,0
walking shore relaxing,0
conversation friends near sea,0
family laughing enjoying weather,0
no heavy tide right now,0
people swimming calmly,0
evening walk peaceful,0
sky pink sunset moment,0
fresh air near ocean,0
food stall crowded today,0
beach festival happening joyfully,0
tourist boating calm water,0
pleasant smell ocean breeze,0
beach clean today nice,0
locals organizing small event,0
everyone comfortable environment,0
no issue sea condition,0
wind normal everything stable,0
regular fishing activity,0
normal tide pattern seen,0
tourist enjoying local food,0
calm shallow water safe,0
children learning swimming,0
shoreline quiet peaceful,0
local celebrating small festival,0
people enjoying photography,0
cool weather relaxing vibe,0
music playing background,0
crowd normal nothing alarming,0
beautiful ocean reflection,0
soft wave touching feet,0
family clicking group photo,0
picnic spot lively,0
clear water shining sun,0
pleasant weekend beachside,0
tourist resting sunbed,0
joggers passing coastline,0
cycle ride beach great,0
sea full positive vibe,0
everyone feeling relaxed,0
no alert from authority,0
people enjoying coconut water,0
open sky look great,0
family gathering beach evening,0
shore calm no tension,0
walking dog coastline,0
kite flying event today,0
quiet afternoon beach,0
people enjoying surfing safely,0
ocean sound soothing,0
peaceful morning jog,0
beachside cafe packed,0
day simple normal coastline,0
water level rising very fast here,1
waves hitting the rocks too hard,1
sea water reached the road today,1
tide looks completely abnormal,1
people running away from the beach,1
sky looking scary near the shore,1
wind speed increasing every minute,1
coast guard warning everyone to move back,1
loud roar from the sea very unusual,1
dangerous waves spotted near the lighthouse,1
huge wave almost hit the footpath,1
boats shaking heavily near harbor,1
alert issued due to rising tide,1
sea behaving strangely since morning,1
crowd panicking after sudden splash,1
water flooded the entry area,1
severe erosion visible today,1
waves too high no one safe,1
coastal road completely wet dangerous,1
people screaming scary situation,1
lifeguards shouting asking people to leave,1
danger alert issued heavy waves,1
jo pani ka level h badh raha h,1
samundar ka paani bahut tez aa raha,1
bahut zyada wave aa rahi hai,1
log bhaag rahe hain beach se,1
aaj sea bahut angry lag raha,1
coast pe bahut tez hawa chal rahi hai,1
paani neeche se upar chadh raha,1
wave ekdum head ke upar tak aa gaya,1
sea ka color change ho raha,1
pani bahut tez takra raha pathar se,1
logon me darr fail gaya hai,1
beach par panic situation hai,1
sea extremely violent today,1
massive wave came out of nowhere,1
kids crying seeing huge waves,1
almost like mini tsunami here,1
storm-like condition near beach,1
bridge area completely flooded,1
flood water entering shops,1
fishermen asked not to go inside,1
waves crossing warning line,1
dangerous situation unfolding,1
high tide hitting buildings,1
waves touching the parking area,1
local people saying never seen this before,1
sea roaring loudly feels dangerous,1
beach area sealed due to risk,1
unexpected water surge scary,1
pani raste tak aa gaya,1
samundar bahut gussa me lagta,1
tez hawa aur huge waves,1
fisherman warning others danger,1
big wave pushed people back,1
rocks completely underwater,1
sudden rise in water level,1
boats returning immediately danger,1
scary moment near harbor,1
sea pulling water strongly inside,1
bahut hi khatarnak wave,1
high wave washed away chairs,1
entire shore flooded,1
road blocked due to sea water,1
sea waves extremely aggressive,1
samundar ka pani upar aa gaya,1
danger zone declared,1
beach closed because high tide,1
boats struggling to stay stable,1
sea pushing water violently,1
flood-like condition visible,1
strong storm waves,1
local warning announced,1
coastal region under red alert,1
nature seems furious today,1
bahut tez awaaz aa rahi waves ki,1
waves crossing the danger mark,1
waves destroying beach shops,1
lifeguards rushing everyone back,1
dangerous splash hit crowd,1
coastline disappearing underwater,1
house near beach flooded,1
breakwater underwater today,1
wind dangerously strong,1
boats almost flipping,1
heavy rainfall + storm waves,1
sudden water burst from sea,1
waves too unpredictable,1
public told to stay indoors,1
strong current pulling people,1
sea completely uncontrolled,1
massive water column rising,1
frightening sea behaviour,1
beach lights flickering storm,1
waves repeatedly hitting same spot,1
sand collapsing near waterline,1
pani idhar udhar fail raha,1
samundar bahut tezi se aa raha,1
sea water entering parking,1
everything looks dangerous today,1
tide almost touching the road,1
